date,Hs,Tp,Shoreline,dx,Hs0,Hsb,omega,omega_filt
2009-03-02,0.5337477229166666,14.880952583333332,,,0.4708984451512349,0.9926416799740106,1.297876837982533,2.575306473306306
2009-03-03,0.9307442695833332,13.217892958333332,,,0.8605333552509598,1.5334777102291515,2.547981791840772,2.573867068151568
2009-03-04,1.0449094991666663,11.620370208333332,,,1.0126341523573468,1.659007886488959,3.2537703153782958,2.5993820993234023
2009-03-05,1.0106397233333333,13.073870458333332,,,0.9383090764141059,1.6362016013431568,2.7971796913574907,2.6060019595211474
2009-03-06,0.95536955875,10.858585749999998,,,0.9471835631384832,1.530576485798488,3.18365730616951,2.628119955707184
2009-03-07,1.0477647066666669,8.028037458333333,,,1.1228731575589583,1.5541993559560565,4.722615137663243,2.708310982740572
2009-03-08,0.6057227795833333,7.519229125,,,0.6557891250323291,0.9846436951949099,2.914934278972257,2.7167272025062883
2009-03-09,0.6005169454166667,10.55848925,,,0.6007203353976733,1.0514218266605648,2.0580298257080285,2.6907979055967424
2009-03-10,0.9786120908333332,9.4146395,,,1.01210101321757,1.5244001196011774,3.76127477973965,2.730416506392468
2009-03-11,0.7576998075,18.18181841666667,98.83936095815484,-0.8839187495989336,0.614052414649146,1.3298960305287417,1.5079538153910554,2.6837952637399183
2009-03-12,0.7265509075000001,15.827229166666667,,,0.6248854411232475,1.2758531490481904,1.6610753695381386,2.6452296599792646
2009-03-13,0.6420051741666667,14.139193916666668,,,0.5781841388855834,1.1460965566896821,1.6430170002451772,2.6074055025693768
2009-03-14,0.7292723408333334,10.967226666666669,,,0.7206808724104995,1.2348992667279102,2.4061411616547574,2.599797565555488
2009-03-15,0.9332424229166666,10.653235833333332,,,0.9309300510152225,1.4980443289475833,3.1698675133372562,2.6215450032979493
2009-03-16,0.7462069416666667,15.293040833333334,,,0.651009703553028,1.3003669330202663,1.7656052695273594,2.5893374497493826
2009-03-17,0.7986872374999999,13.196988291666663,,,0.7388846986513325,1.3565933362833018,2.1899292938031523,2.5746336141532997
2009-03-18,0.8674314370833334,11.559829,,,0.8421590790225446,1.4285461675286883,2.7152631614337444,2.5805364404482414
2009-03-19,0.7627178858333333,12.023809333333332,,,0.7303300262149094,1.2948831091590982,2.2953558797731115,2.570099026934745
2009-03-20,0.6130425883333334,11.574073916666665,,,0.5949286233523309,1.0823427205868246,1.9166048121807744,2.5454530936414015
2009-03-21,0.5813113875,10.807081666666669,,,0.5772172744276186,1.0279056131982267,1.9463842286254176,2.522553981233274
2009-03-22,0.7217977745833334,9.5601711625,,,0.7434262365116894,1.19832600123715,2.731983364690055,2.530667474273934
